name,order_id,weight,type_1,type_2
bulbasaur,1,69,grass,poison
ivysaur,2,130,grass,poison
venusaur,3,1000,grass,poison
charmander,4,85,fire,NaN
charmeleon,5,190,fire,NaN
charizard,6,905,fire,flying
squirtle,7,90,water,NaN
wartortle,8,225,water,NaN
blastoise,9,855,water,NaN
caterpie,10,29,bug,NaN
metapod,11,99,bug,NaN
butterfree,12,320,bug,flying
weedle,13,32,bug,poison
kakuna,14,100,bug,poison
beedrill,15,295,bug,poison
pidgey,16,18,normal,flying
pidgeotto,17,300,normal,flying
pidgeot,18,395,normal,flying
rattata,19,35,normal,NaN
raticate,20,185,normal,NaN
spearow,21,20,normal,flying
fearow,22,380,normal,flying
ekans,23,69,poison,NaN
arbok,24,650,poison,NaN
pikachu,25,60,electric,NaN
raichu,26,300,electric,NaN
sandshrew,27,120,ground,NaN
sandslash,28,295,ground,NaN
nidoran-f,29,70,poison,NaN
nidorina,30,200,poison,NaN
nidoqueen,31,600,poison,ground
nidoran-m,32,90,poison,NaN
nidorino,33,195,poison,NaN
nidoking,34,620,poison,ground
clefairy,35,75,fairy,NaN
clefable,36,400,fairy,NaN
vulpix,37,99,fire,NaN
ninetales,38,199,fire,NaN
jigglypuff,39,55,normal,fairy
wigglytuff,40,120,normal,fairy
zubat,41,75,poison,flying
golbat,42,550,poison,flying
oddish,43,54,grass,poison
gloom,44,86,grass,poison
vileplume,45,186,grass,poison
paras,46,54,bug,grass
parasect,47,295,bug,grass
venonat,48,300,bug,poison
venomoth,49,125,bug,poison
diglett,50,8,ground,NaN
dugtrio,51,333,ground,NaN
meowth,52,42,normal,NaN
persian,53,320,normal,NaN
psyduck,54,196,water,NaN
golduck,55,766,water,NaN
mankey,56,280,fighting,NaN
primeape,57,320,fighting,NaN
growlithe,58,190,fire,NaN
arcanine,59,1550,fire,NaN
poliwag,60,124,water,NaN
poliwhirl,61,200,water,NaN
poliwrath,62,540,water,fighting
abra,63,195,psychic,NaN
kadabra,64,565,psychic,NaN
alakazam,65,480,psychic,NaN
machop,66,195,fighting,NaN
machoke,67,705,fighting,NaN
machamp,68,1300,fighting,NaN
